;Cod_setor;lat;long;TIPO;income;longevity;literacy;population
369;352610005000012;-47.63400694533828;-24.30893961068699;URBANO;0.5339241438604834;0.8;0.9488832413892848;1296.0
370;352610005000013;-47.63226657672142;-24.31186123374861;URBANO;0.5732108571162042;0.75;0.9452191163726734;588.0
371;352610005000014;-47.62609187185332;-24.309106248371112;URBANO;0.5453630851499686;0.8;0.8761586761586763;768.0
372;352610005000015;-47.62709021886146;-24.313730059906092;URBANO;0.5679357277691639;0.8166666666666667;0.9198412698412698;550.0
373;352610005000016;-47.623269142023624;-24.315805224204514;URBANO;0.5207289155325883;0.7833333333333333;0.9442433383609852;227.0
374;352610005000017;-47.63198504789633;-24.332833030527777;URBANO;0.4908427758995245;0.8;0.9436307519640852;748.0
375;352610005000018;-47.63027829049871;-24.320521716656238;URBANO;0.5073300974362591;0.8833333333333333;0.9344766410408042;623.0
376;352610005000019;-47.63061530047944;-24.316560986584346;URBANO;0.5941631485057364;0.7166666666666667;0.9795169082125604;706.0
377;352610005000020;-47.673119766568284;-24.35257209831957;RURAL;0.4682513243474374;0.75;0.8617159571010724;514.0
378;352610005000021;-47.72444152163959;-24.314930207221717;RURAL;0.4888636090408706;0.7666666666666667;0.8984142316670692;544.0
379;352610005000022;-47.65138716877572;-24.270732054522345;RURAL;0.4985368705447853;0.7333333333333333;0.8821693328131096;324.0
380;352610005000023;-47.59168346054625;-24.276312514510135;RURAL;0.4834270585631977;0.55;0.7655141843971632;146.0
381;352610005000024;-47.57495209079642;-24.327305991550872;RURAL;0.5522322989986564;0.8833333333333333;0.9774614472123369;354.0
382;352610005000025;-47.58117677739936;-24.34335149340183;RURAL;0.4992260175578255;0.7833333333333333;0.902690058479532;427.0
383;352610005000026;-47.7296204574169;-24.360111499282905;RURAL;0.5300526376554293;0.75;0.8606982778957302;218.0
384;352610005000027;-47.7054598573364;-24.26066014758281;RURAL;0.4791759808041032;0.75;0.9308571428571428;172.0
385;352610005000028;-47.73827826857401;-24.235308045855056;RURAL;0.5606131212481319;0.7;0.8392306296497912;237.0
386;352610005000029;-47.64991614814428;-24.207512797350763;RURAL;0.45004056145095134;0.7833333333333333;0.9153439153439152;361.0
387;352610005000030;-47.56213927006218;-24.177072949068325;RURAL;0.554512178689042;0.8333333333333334;0.9309504944684098;431.0
388;352610005000031;-47.71684672148353;-24.150608977139257;RURAL;0.4815502855702051;0.8;0.9198845767272964;610.0
389;352610005000032;-47.62255632998306;-24.15624279202489;RURAL;0.4879507005130376;0.8;0.9120659254801348;684.0
390;352610005000033;-47.66678912505101;-24.080743068417036;RURAL;0.5048440526966118;0.7833333333333333;0.9097528748564736;657.0
391;352610005000034;-47.55339552532624;-24.0969788754685;RURAL;0.4258440299297334;0.85;0.876408141444228;542.0
392;352610005000035;-47.625773583391165;-24.351084745468413;RURAL;0.3610352720688692;0.6666666666666666;0.8909754224270353;353.0
393;352610005000036;-47.650276746950965;-24.352253698633778;RURAL;0.5067627689837849;0.7833333333333333;0.9233768269268444;523.0
394;352620905000001;-47.07893549067979;-23.935367534574667;URBANO;0.6527175139665337;0.75;0.9455128205128206;737.0
395;352620905000002;-47.060414392848024;-23.921167771816688;URBANO;0.6412392886502207;0.8;0.9589147286821704;1152.0
396;352620905000003;-47.05236399607739;-23.93312222376075;URBANO;0.5629545234165837;0.8333333333333334;0.9436593178820426;322.0
397;352620905000004;-47.05863244843453;-23.94562310115505;URBANO;0.5757401904932232;0.7666666666666667;0.9637896825396824;885.0
398;352620905000005;-47.07698481987654;-23.942898079519523;URBANO;0.4678278455552758;0.7;0.956076882251379;930.0
399;352620905000006;-47.09350743029809;-23.929630049185498;URBANO;0.5892322058843507;0.8;0.9692534685038432;1266.0
400;352620905000007;-47.084744495063056;-23.920706091645776;URBANO;0.5211529393688364;0.85;0.9356181624552232;418.0
